name;release_year;label;duration;rating;budget;gross
12 Angry Men;1957;Approved;1h 36m;90;350;2667
12 Years a Slave;2013;R;2h 14m;81;20000000;187734091
12th Fail;2023;;;89;;138288
1917;2019;R;1h 59m;82;95000000;384580017
2001: A Space Odyssey;1968;G;2h 29m;83;12000000;66657408
3 Idiots;2009;PG-13;2h 50m;84;60262836;60262836
A Beautiful Mind;2001;PG-13;2h 15m;82;58000000;316791257
A Clockwork Orange;1971;R;2h 16m;83;2200000;27023100
A Separation;2011;PG-13;2h 3m;83;500;22926076
Aladdin;1992;G;1h 30m;80;28000000;504050219
Alien;1979;R;1h 57m;85;11000000;108591169
Aliens;1986;R;2h 17m;84;18500000;131060248
All About Eve;1950;Approved;2h 18m;82;1400000;152599
Amadeus;1984;PG;2h 40m;84;18000000;52071304
Am�lie;2001;R;2h 2m;83;10000000;174922204
American Beauty;1999;R;2h 2m;83;15000000;356296601
American History X;1998;R;1h 59m;85;20000000;23875714
Amores Perros;2000;R;2h 34m;81;2000000;20908467
Apocalypse Now;1979;R;2h 27m;84;31500000;104920499
Avengers: Endgame;2019;PG-13;3h 1m;84;356000000;2799439100
Avengers: Infinity War;2018;PG-13;2h 29m;84;321000000;2052415039
Back to the Future;1985;PG;1h 56m;85;19000000;384577472
Barry Lyndon;1975;PG;3h 5m;81;11000000;260131
Batman Begins;2005;PG-13;2h 20m;82;150000000;375325692
Before Sunrise;1995;R;1h 41m;81;2500000;5993086
Before Sunset;2004;R;1h 20m;81;2700000;15855022
Ben-Hur;1959;G;3h 32m;81;15000000;74437981
Bicycle Thieves;1948;Not Rated;1h 29m;83;133;450159
Blade Runner;1982;R;1h 57m;81;28000000;41757237
Braveheart;1995;R;2h 58m;83;72000000;213216216
Capernaum;2018;R;2h 6m;84;4000000;64417003
Casablanca;1942;PG;1h 42m;85;950;4661588
Casino;1995;R;2h 58m;82;52000000;116112375
Catch Me If You Can;2002;PG-13;2h 21m;81;52000000;352114312
Children of Heaven;1997;PG;1h 29m;82;180;933933
Chinatown;1974;R;2h 10m;81;6000000;29230350
Cinema Paradiso;1988;PG;2h 54m;85;5000000;13020497
Citizen Kane;1941;PG;1h 59m;83;839727;1702325
City Lights;1931;G;1h 27m;85;1500000;50419
City of God;2002;R;2h 10m;86;3300000;30680793
Coco;2017;PG;1h 45m;84;175000000;814337054
Come and See;1985;Not Rated;2h 22m;84;;20929648
Cool Hand Luke;1967;Approved;2h 7m;81;3200000;1274
Dances with Wolves;1990;PG-13;3h 1m;80;22000000;424208848
Dangal;2016;Not Rated;2h 41m;83;303723636;303723636
Das Boot;1981;;;84;11488778;11488778
Dead Poets Society;1989;PG;2h 8m;81;16400000;235860116
Dial M for Murder;1954;PG;1h 45m;82;1400000;43308
Die Hard;1988;R;2h 12m;82;28000000;143651650
Django Unchained;2012;R;2h 45m;85;100000000;426076293
Double Indemnity;1944;Approved;1h 47m;83;927262;19324
Downfall;2004;R;2h 36m;82;92181574;92181574
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;PG;1h 35m;83;1800000;9530810
Drishyam;2015;Not Rated;2h 43m;82;9400000;
Dune: Part Two;2024;PG-13;2h 46m;86;190000000;711844358
Eternal Sunshine of the Spotless Mind;2004;R;1h 48m;83;20000000;73392396
Fargo;1996;R;1h 38m;81;7000000;60611975
Fight Club;1999;R;2h 19m;88;63000000;101320107
Finding Nemo;2003;G;1h 40m;82;94000000;941637960
For a Few Dollars More;1965;R;2h 12m;82;600;15000000
Ford v Ferrari;2019;PG-13;2h 32m;81;97600000;225508210
Forrest Gump;1994;PG-13;2h 22m;88;55000000;678226465
Full Metal Jacket;1987;R;1h 56m;83;30000000;46361894
Gangs of Wasseypur;2012;Not Rated;5h 21m;82;4384642;4384642
Gladiator;2000;R;2h 35m;85;103000000;465387186
Gone Girl;2014;R;2h 29m;81;61000000;370890259
Gone with the Wind;1939;G;3h 58m;82;3977000;402382193
Good Will Hunting;1997;R;2h 6m;83;10000000;225933435
Goodfellas;1990;R;2h 25m;87;25000000;47049784
Gran Torino;2008;R;1h 56m;81;33000000;269958228
Grave of the Fireflies;1988;Not Rated;1h 29m;85;3700000;519421
Green Book;2018;PG-13;2h 10m;82;23000000;321752656
Groundhog Day;1993;PG;1h 41m;80;14600000;71108778
Hachi: A Dog's Tale;2009;G;1h 33m;81;16000000;46749646
Hacksaw Ridge;2016;R;2h 19m;81;40000000;180563636
Hamilton;2020;PG-13;2h 40m;83;;
Harakiri;1962;Not Rated;2h 13m;86;;15222
Harry Potter and the Deathly Hallows: Part 2;2011;PG-13;2h 10m;81;125000000;1342480797
Heat;1995;R;2h 50m;83;60000000;187436818
High and Low;1963;Not Rated;2h 23m;84;;46808
Hotel Rwanda;2004;PG-13;2h 1m;81;17500000;33882243
How to Train Your Dragon;2010;PG;1h 38m;81;165000000;494879860
Howl's Moving Castle;2004;PG;1h 59m;82;24000000;237731798
Ikiru;1952;Not Rated;2h 23m;83;;96302
In the Name of the Father;1993;R;2h 13m;81;13000000;65796862
Incendies;2010;R;2h 11m;83;6800000;6797861
Inception;2010;PG-13;2h 28m;88;160000000;839030630
Indiana Jones and the Last Crusade;1989;PG-13;2h 7m;82;48000000;474171806
Inglourious Basterds;2009;R;2h 33m;84;70000000;321458605
Inside Out;2015;PG;1h 35m;81;175000000;858852998
Interstellar;2014;PG-13;2h 49m;87;165000000;733202212
Into the Wild;2007;R;2h 28m;81;15000000;56676733
It Happened One Night;1934;Approved;1h 45m;81;325;16633
It's a Wonderful Life;1946;PG;2h 10m;86;3180000;9767242
Jai Bhim;2021;Approved;2h 44m;87;;
Jaws;1975;PG;2h 4m;81;7000000;477220580
Joker;2019;R;2h 2m;84;55000000;1078958629
Judgment at Nuremberg;1961;Approved;2h 59m;83;3000000;1218
Jurassic Park;1993;PG-13;2h 7m;82;63000000;1103086582
Kill Bill: Vol. 1;2003;R;1h 51m;82;30000000;180908413
Klaus;2019;PG;1h 36m;82;40000000;
L.A. Confidential;1997;R;2h 18m;82;35000000;126216940
La haine;1995;Not Rated;1h 38m;81;748663;748663
Lawrence of Arabia;1962;PG;3h 38m;83;15000000;45752380
L�on: The Professional;1994;R;1h 50m;85;20275438;20275438
Life Is Beautiful;1997;PG-13;1h 56m;86;20000000;230099013
Like Stars on Earth;2007;PG;2h 42m;83;;21897373
Lock, Stock and Two Smoking Barrels;1998;R;1h 47m;81;3753929;3753929
Logan;2017;R;2h 17m;81;97000000;619180476
M;1931;Passed;1h 39m;83;;35566
Mad Max: Fury Road;2015;R;2h;81;150000000;380418444
Mary and Max;2009;Not Rated;1h 32m;81;1740625;1740625
Memento;2000;R;1h 53m;84;9000000;40047236
Memories of Murder;2003;Not Rated;2h 12m;81;2800000;1208481
Metropolis;1927;Not Rated;2h 33m;83;1350322;1350322
Million Dollar Baby;2004;PG-13;2h 12m;81;30000000;216763646
Modern Times;1936;G;1h 27m;85;1500000;463618
Monsters, Inc.;2001;G;1h 32m;81;115000000;579723768
Monty Python and the Holy Grail;1975;PG;1h 31m;82;2817496;2817496
Mr. Smith Goes to Washington;1939;Approved;2h 9m;81;1900000;145941
My Father and My Son;2005;Not Rated;1h 52m;82;;18612999
My Neighbor Totoro;1988;G;1h 26m;81;3700000;30695952
Network;1976;R;2h 1m;81;3800000;23692346
No Country for Old Men;2007;R;2h 2m;82;25000000;171632777
North by Northwest;1959;Approved;2h 16m;83;3101000;150989
Oldboy;2003;R;2h;83;3000000;17542965
On the Waterfront;1954;Approved;1h 48m;81;910;335
Once Upon a Time in America;1984;R;3h 49m;83;30000000;5475086
Once Upon a Time in the West;1968;PG-13;2h 46m;85;5000000;5435312
One Flew Over the Cuckoo's Nest;1975;R;2h 13m;87;3000000;109115366
Oppenheimer;2023;R;3h;83;100000000;974799171
Pan's Labyrinth;2006;R;1h 58m;82;19000000;83863565
Parasite;2019;R;2h 12m;85;11400000;262099264
Paths of Glory;1957;Approved;1h 28m;84;935;829
Pirates of the Caribbean: The Curse of the Black Pearl;2003;PG-13;2h 23m;81;140000000;654264546
Platoon;1986;R;2h;81;6000000;138545632
Princess Mononoke;1997;PG-13;2h 14m;83;170211439;170211439
Prisoners;2013;R;2h 33m;82;46000000;122127446
Psycho;1960;R;1h 49m;85;806947;32061457
Pulp Fiction;1994;R;2h 34m;89;8000000;213928762
Raging Bull;1980;R;2h 9m;81;18000000;23405198
Raiders of the Lost Ark;1981;PG;1h 55m;84;18000000;389925971
Ran;1985;R;2h 40m;82;11500000;4166319
Rashomon;1950;Not Rated;1h 28m;82;250;117668
Ratatouille;2007;G;1h 51m;81;150000000;623728318
Rear Window;1954;PG;1h 52m;85;1000000;37040788
Rebecca;1940;Approved;2h 10m;81;1288000;112282
Requiem for a Dream;2000;NC-17;1h 42m;83;4500000;7390108
Reservoir Dogs;1992;R;1h 39m;83;1200000;2930208
Rocky;1976;PG;2h;81;960;117251948
Room;2015;R;1h 58m;81;13000000;35402766
Rush;2013;R;2h 3m;81;38000000;96992516
Saving Private Ryan;1998;R;2h 49m;86;70000000;482351251
Scarface;1983;R;2h 50m;83;50000000;66443303
Schindler's List;1993;R;3h 15m;90;22000000;322161245
Se7en;1995;R;2h 7m;86;33000000;327333559
Seven Samurai;1954;Not Rated;3h 27m;86;346258;346258
Sherlock Jr.;1924;Passed;45m;82;;399
Shutter Island;2010;R;2h 18m;82;80000000;294932028
Singin' in the Rain;1952;G;1h 43m;83;2540800;2010042
Snatch;2000;R;1h 42m;82;83557872;83557872
Some Like It Hot;1959;Approved;2h 1m;82;2883848;200464
Spider-Man: Across the Spider-Verse;2023;PG;2h 20m;86;150000000;690897910
Spider-Man: Into the Spider-Verse;2018;PG;1h 57m;84;90000000;384298736
Spider-Man: No Way Home;2021;PG-13;2h 28m;82;200000000;1921847111
Spirited Away;2001;PG;2h 5m;86;19000000;357561772
Spotlight;2015;R;2h 9m;81;20000000;98690254
Stand by Me;1986;R;1h 29m;81;8000000;52290509
Star Wars: Episode IV - A New Hope;1977;PG;2h 1m;86;11000000;775398507
Star Wars: Episode V - The Empire Strikes Back;1980;PG;2h 4m;87;18000000;538375067
Star Wars: Episode VI - Return of the Jedi;1983;PG;2h 11m;83;32500000;475106177
Sunset Boulevard;1950;Approved;1h 50m;84;1752000;304474
Taxi Driver;1976;R;1h 54m;82;1300000;28579636
Terminator 2: Judgment Day;1991;R;2h 17m;86;102000000;520881154
The Apartment;1960;Approved;2h 5m;83;3000000;18778738
The Battle of Algiers;1966;Not Rated;2h 1m;81;800;962002
The Best Years of Our Lives;1946;Approved;2h 50m;81;2100000;23661347
The Big Lebowski;1998;R;1h 57m;81;15000000;48066229
The Bridge on the River Kwai;1957;PG;2h 41m;81;3000000;27200463
The Dark Knight;2008;PG-13;2h 32m;90;185000000;1008497140
The Dark Knight Rises;2012;PG-13;2h 44m;84;250000000;1085289416
The Deer Hunter;1978;R;3h 3m;81;15000000;49080126
The Departed;2006;R;2h 31m;85;90000000;291481358
The Elephant Man;1980;PG;2h 4m;82;5000000;26028672
The Exorcist;1973;R;2h 2m;81;11000000;441306145
The Father;2020;PG-13;1h 37m;82;6000000;24048935
The General;1926;Passed;1h 18m;81;750;612
The Godfather;1972;R;2h 55m;92;6000000;250342030
The Godfather Part II;1974;R;3h 22m;90;13000000;47962897
The Gold Rush;1925;Approved;1h 35m;81;923;3149
The Good, the Bad and the Ugly;1966;R;2h 58m;88;1200000;25259657
The Grand Budapest Hotel;2014;R;1h 39m;81;25000000;174567384
The Grapes of Wrath;1940;Approved;2h 9m;81;800;
The Great Dictator;1940;G;2h 5m;84;2000000;972212
The Great Escape;1963;Approved;2h 52m;82;4000000;230637
The Green Mile;1999;R;3h 9m;86;60000000;286801374
The Handmaiden;2016;Not Rated;2h 25m;81;37863670;37863670
The Help;2011;PG-13;2h 26m;81;25000000;216639112
The Hunt;2012;R;1h 55m;83;15886373;15886373
The Incredibles;2004;PG;1h 55m;80;92000000;631688498
The Intouchables;2011;R;1h 52m;85;426590315;426590315
The Iron Giant;1999;PG;1h 26m;81;70000000;23336504
The Kid;1921;Passed;1h 8m;82;250;41979
The Lion King;1994;G;1h 28m;85;45000000;968750694
The Lives of Others;2006;R;2h 17m;84;2000000;77357476
The Lord of the Rings: The Fellowship of the Ring;2001;PG-13;2h 58m;89;93000000;884041698
The Lord of the Rings: The Return of the King;2003;PG-13;3h 21m;90;94000000;1149002839
The Lord of the Rings: The Two Towers;2002;PG-13;2h 59m;88;94000000;948945489
The Matrix;1999;R;2h 16m;87;63000000;467623299
The Passion of Joan of Arc;1928;Passed;1h 54m;81;;22731
The Pianist;2002;R;2h 30m;85;35000000;120098945
The Prestige;2006;PG-13;2h 10m;85;40000000;109676311
The Secret in Their Eyes;2009;R;2h 9m;82;2000000;35079650
The Seventh Seal;1957;Not Rated;1h 36m;81;150;311212
The Shawshank Redemption;1994;R;2h 22m;93;25000000;29274740
The Shining;1980;R;2h 26m;84;19000000;47509247
The Silence of the Lambs;1991;R;1h 58m;86;19000000;272742922
The Sixth Sense;1999;PG-13;1h 47m;82;40000000;672806432
The Sound of Music;1965;G;2h 52m;81;8200000;159475084
The Sting;1973;PG;2h 9m;83;5500000;156000000
The Terminator;1984;R;1h 47m;81;6400000;78371200
The Thing;1982;R;1h 49m;82;15000000;19872469
The Third Man;1949;Approved;1h 33m;81;;1233079
The Treasure of the Sierra Madre;1948;Approved;2h 6m;82;3000000;5014000
The Truman Show;1998;PG;1h 43m;82;60000000;264118712
The Usual Suspects;1995;R;1h 46m;85;6000000;23341568
The Wages of Fear;1953;Not Rated;2h 11m;82;;1098
The Wizard of Oz;1939;G;1h 42m;81;2777000;25637669
The Wolf of Wall Street;2013;R;3h;82;100000000;407039432
There Will Be Blood;2007;R;2h 38m;82;25000000;76186224
Three Billboards Outside Ebbing, Missouri;2017;R;1h 55m;81;15000000;162729321
To Be or Not to Be;1942;Approved;1h 39m;81;;4578000
To Kill a Mockingbird;1962;Approved;2h 9m;83;2000000;599146
Tokyo Story;1953;Not Rated;2h 16m;81;;89004
Top Gun: Maverick;2022;PG-13;2h 10m;82;170000000;1495696292
Toy Story;1995;G;1h 21m;83;30000000;394436586
Toy Story 3;2010;G;1h 43m;83;200000000;1067316101
Trainspotting;1996;R;1h 33m;81;16841567;16841567
Unforgiven;1992;R;2h 10m;82;14400000;159167799
Up;2009;PG;1h 36m;83;175000000;735102136
V for Vendetta;2005;R;2h 12m;82;54000000;134686457
Vertigo;1958;PG;2h 8m;83;2479000;7805622
WALL�E;2008;G;1h 38m;84;180000000;521320168
Warrior;2011;PG-13;2h 20m;81;25000000;23308615
Whiplash;2014;R;1h 46m;85;3300000;49449489
Wild Strawberries;1957;Not Rated;1h 31m;81;;60418
Wild Tales;2014;R;2h 2m;81;3300000;31478893
Witness for the Prosecution;1957;Approved;1h 56m;84;3000000;7903
Yojimbo;1961;Not Rated;1h 50m;82;;46808
Your Name.;2016;;;84;382238191;382238191
